,V_CODE2011,water,nightlights,totalArea,urban,20urban
,245125,16878.14891,9100691.921,1520068.357,362535.9757,7250719.514
,245139,811.7768555,9052273.224,1478984.521,0,0
,244692,0,8933622.458,817983.0744,587063.3262,11741266.52
,245106,0,8915497.978,1186319.49,0,0
,244883,0,8777109.066,1137393.795,0,0
,245013,5680.337585,8719216.229,2077115.709,0,0
,244882,0,8715384.82,996927.2315,44316.23284,886324.6567
,244622,1873.702459,8652743.742,706900.0283,0,0
,244933,0,8635079.091,1832815.98,0,0
,245102,36216.19754,8477013.403,1081232.207,210584.9871,4211699.741
,244898,811.0595093,8447124.19,3511143.907,0,0
,244718,4861.503296,8384632.049,3224495.618,0,0
,245116,811.8013306,8371869.091,832695.1947,0,0
,244346,4051.417725,8274738.889,1658383.107,589576.6476,11791532.95
,245117,0,8147019,796363.6027,0,0
,245025,5032.606512,7956000.961,1659168.716,0,0
,244753,1619.864014,7871531.684,2566059.647,0,0
,244386,810.2846069,7843737.423,1411553.356,0,0
,244997,10691.13585,7690030.197,4348979.466,0,0
,244591,0,7656776.596,1302962.707,0,0
,244358,0,7599522.907,1538432.381,0,0
,244958,0,7575502.492,3277385.504,0,0
,244616,9429.576274,7521593.947,9347653.349,0,0
,244936,0,7501200.178,1033067.538,0,0
,245134,0,7465733.854,1496330.477,0,0
,244838,0,7379712.061,1141518.985,110688.565,2213771.3
,244619,1622.42749,7363994.659,1679581.37,0,0
,244395,0,7291721.45,1438053.091,320294.155,6405883.1
,244357,0,7234255.79,1706062.258,0,0
,244821,37290.29694,7226148.631,1375637.652,142053.9045,2841078.09
,244938,4866.784851,7184850.903,1094910.279,0,0
,244361,3240.528809,7157061.267,1740327.395,0,0
,244900,0,7108798.211,1387132.903,0,0
,244651,0,7100307.923,3394611.43,0,0
,244634,1622.644653,7074692.245,2778731.784,0,0
,245091,0,7024225.146,901269.2576,0,0
,244646,0,6953463.987,572858.5938,560840.6235,11216812.47
,244503,22318.49659,6950699.83,2011360.049,0,0
,245107,0,6902167.593,925917.0802,56871.09541,1137421.908
,244332,1921.392765,6845930.59,5864393.166,165846.6398,3316932.797
,244960,33738.59204,6841719.219,7216286.881,273076.1371,5461522.743
,244929,0,6729944.847,1470744.672,0,0
,244409,0,6715495.86,971069.4468,0,0
,245076,0,6663480.401,1097812.444,0,0
,245144,0,6652556.676,855138.1361,0,0
,244405,0,6557643.783,300270.5062,15937.94416,318758.8833
,244249,809.744873,6464959.565,1080437.084,0,0
,245097,130601.8271,6403266.881,1005499.984,0,0
,244162,0,6320742.83,2429215.284,0,0
,245026,3247.147705,6300645.789,1204930.889,0,0
,244935,0,6261521.539,1195603.587,0,0
,245099,216.4691464,6214957.093,1032452.476,37971.59035,759431.8071
,245111,0,6099696.767,535415.7356,142263.8686,2845277.372
,244649,301.9245682,6074646.231,1252521.547,0,0
,244354,13769.90302,6073135.02,3687734.999,0,0
,244573,0,6067883.631,934900.5221,0,0
,244887,0,6011601.882,982273.6922,0,0
,245074,0,5988261.333,814549.8395,0,0
,245027,3246.782593,5896463.267,1100751.753,0,0
,244940,0,5881222.34,1022768.108,0,0
,244947,0,5871808.145,1222202.345,0,0
,244878,0,5835262.525,1202941.551,0,0
,244658,0,5833154.54,2025903.794,0,0
,244901,0,5790844.453,1086865.419,0,0
,244724,2481.81634,5788887.8,3123602.683,0,0
,245041,2142.58501,5697695.277,624407.319,0,0
,244863,0,5662862.212,1040754.955,0,0
,244899,0,5605563.381,1483089.997,0,0
,244400,0,5574277.636,707172.6256,133706.6832,2674133.663
,245036,0,5482782.019,422230.4885,0,0
,244584,15497.59223,5413916.458,260969.3602,91467.23482,1829344.696
,244582,0,5411574.548,199179.4164,168412.5647,3368251.293
,245016,0,5406663.462,2261073.786,0,0
,244937,0,5387833.061,857392.4776,0,0
,244672,0,5307835.076,1325390.89,12260.72681,245214.5362
,244943,0,5277276.757,2390461.792,0,0
,244822,0,5237706.921,673543.2542,68119.32352,1362386.47
,244886,0,5158344.386,1047079.686,0,0
,244653,0,5140610.437,907902.2921,0,0
,245101,49360.2246,5029348.201,595638.418,134346.0391,2686920.782
,244401,0,4987961.031,384642.5893,98463.18152,1969263.63
,245142,0,4978514.374,774186.5354,0,0
,244345,0,4906718.854,1567803.314,431777.7524,8635555.047
,244213,67878.48721,4844904.707,2748513.495,0,0
,244955,79233.38613,4832135.402,2593649.475,0,0
,244396,0,4822296.507,931480.3034,0,0
,245071,5522.444414,4746588.24,1145268.708,0,0
,244402,0,4727355.497,457114.5015,0,0
,244387,0,4550613.361,792556.9922,672.7464188,13454.92838
,244833,0,4531742.844,1066467.991,0,0
,244839,0,4481810.542,591122.4459,86557.99736,1731159.947
,244129,8096.881409,4464581.087,7229427.952,0,0
,244414,0,4462833.554,695370.8245,0,0
,244252,0,4429721.265,1762497.886,0,0
,245105,0,4362533.624,604559.2411,0,0
