system:index,m_bu,m_nl,s_bu,s_nl,v_code_2011,.geo
9745,0.008742156174398328,0.004026035689341804,53.02745098039216,24.4207957285292,217163,
9731,0.018756659708943343,0.012710811189800407,95.74509803921569,64.8835071068184,217164,
9535,0.028449101756843353,0.02924701597988133,84.42745098039217,86.79539442296121,217162,
9821,0.025814898001554575,0.018532624358261376,177.0,127.06904792785645,216821,
9801,0.014178967298395247,0.008320099617893168,60.498039215686276,35.49974425984364,216825,
9565,0.014943327936986762,0.006492884259259408,168.64705882352942,73.27724039940273,217171,
9767,0.03980584193917289,0.013106121296370211,363.08235294117645,119.54530105129176,217217,
9747,0.01347597922870612,0.005904211633618136,125.02352941176471,54.77638131532015,217172,
9380,0.05795718067039894,0.026336523478298072,349.3058823529412,158.72929747934435,217284,
9444,0.02230542479136815,0.011178571946817763,168.60784313725492,84.49939523397707,217280,
9405,0.03716298075338792,0.017986049270188677,300.73333333333335,145.54818910827822,217174,
9462,0.025829472253353716,0.04111016950894088,202.09019607843135,321.646611103357,217182,
9375,0.0341277973134386,0.022920588416318534,215.91372549019607,145.00993398264345,217210,
9395,0.029148247022866336,0.021163831474936404,127.68235294117648,92.70704333782196,217212,
9434,0.03665073762864523,0.02965091627923713,278.18039215686275,225.0515010623371,217214,
9351,0.03650822601656687,0.020655319241923983,275.52156862745096,155.88229226621925,217283,
9352,0.06307576147328268,0.06011113816895273,445.21568627450984,424.2901077614111,217282,
9259,0.0810167595210529,0.06307668900947315,1194.9450980392153,930.3405959211145,217368,
9323,0.02277696160653347,0.01792855644620065,69.49411764705883,54.70129126251913,217317,
9307,0.09183281027966034,0.06283202442014182,619.8901960784314,424.12897764093736,217320,
9294,0.07363020336075687,0.047904619921132444,886.4392156862741,576.7271007330978,217327,
9230,0.08403384069345898,0.06477297220665981,1035.8235294117644,798.4089282118805,217321,
9290,0.08692693985650818,0.05983841266401866,513.0509803921567,353.1719433936419,217462,
