system:index,B1,B10,B10_1,B11,B11_1,B1_1,B2,B2_1,B3,B3_1,B4,B4_1,B5,B5_1,B6,B6_1,B7,B7_1,B8,B8_1,B9,B9_1,BQA,BQA_1,class,stable_lights,.geo
12958_0,0.15898646,311.38928,297.4406,308.57504,296.48355,0.17079951,0.1445417,0.150159,0.13814272,0.12781586,0.1482117,0.12536648,0.19803907,0.16348124,0.22003557,0.18256849,0.19253406,0.16327214,0.14327131,0.13119124,9.41022E-4,0.0012844255,2720,2720,2.0,43,
3419_0,0.16145666,310.94342,297.35196,308.0687,296.18692,0.17620608,0.14936446,0.15649155,0.14134221,0.13387957,0.14879984,0.13373022,0.20177965,0.17462294,0.22662275,0.19762322,0.202556,0.17459306,0.14329484,0.13146007,0.0010351246,0.0016727421,2720,2720,1.0,43,
8351_0,0.15745729,308.58615,294.18134,306.2919,293.0968,0.1715164,0.14623554,0.15117459,0.13837798,0.13131072,0.1465649,0.12300672,0.20726113,0.16751376,0.19149894,0.17008263,0.16411506,0.14908366,0.11311141,0.10813121,5.410856E-4,0.001075332,2720,2720,1.0,30,
10935_0,0.13814272,306.03323,291.16275,303.88983,290.16916,0.15281747,0.12433315,0.12515739,0.117793016,0.10326231,0.12917943,0.07082295,0.24165565,0.3613733,0.20744933,0.12948862,0.1435301,0.059143584,0.13146143,0.09259854,0.0012939071,0.0013441665,2720,2720,2.0,12,
18649_0,0.14924683,308.40674,291.92697,305.85425,291.1103,0.15230967,0.1375781,0.12913017,0.14058939,0.11323906,0.15035254,0.087191984,0.2900715,0.33550546,0.29352975,0.18209057,0.22394082,0.103471406,0.14788234,0.10604027,0.0012468557,0.001075332,2720,2720,2.0,3,
8741_0,0.13275534,307.2653,291.10455,304.9325,290.38513,0.1473213,0.11856936,0.120676816,0.11339372,0.09967785,0.12565058,0.06613328,0.24734886,0.35838625,0.2335393,0.1369861,0.15221107,0.06613328,0.11920455,0.08387636,0.0012468557,0.0014636485,2720,2720,2.0,3,
18661_0,0.14136574,307.8032,292.25827,305.35965,291.37457,0.15655129,0.12750912,0.13241592,0.1264975,0.10986369,0.12292161,0.0953765,0.27910852,0.24012895,0.26504016,0.2262093,0.18785246,0.15980718,0.08963279,0.08557898,0.001011599,0.001135073,2720,2720,2.0,3,
18661_1,0.13682528,308.18103,292.3384,305.57675,291.39804,0.15428112,0.121745326,0.12978731,0.11513461,0.10382985,0.11073531,0.08704263,0.27254486,0.21787542,0.24676073,0.18465942,0.16251531,0.12533662,0.1041246,0.09206088,0.001011599,0.0011649436,2720,2720,2.0,3,
10852_0,0.13364932,309.10983,290.884,306.60745,290.12473,0.14520049,0.12268636,0.11804821,0.11861641,0.09651158,0.14301252,0.060368273,0.27233312,0.42084548,0.24146745,0.12886134,0.15138766,0.054901972,0.12106308,0.08169581,0.0014585867,0.0015831306,2720,2720,2.0,2,
18666_0,0.13894258,307.4353,291.02094,305.30402,290.22836,0.14878495,0.12433315,0.122498915,0.122027636,0.10278439,0.12819135,0.07285415,0.2661694,0.32134685,0.25624156,0.13689649,0.17806578,0.06780603,0.11064121,0.0894024,0.001505638,0.0016428715,2720,2720,2.0,2,
18677_0,0.13193195,306.62967,290.07162,304.33075,289.3492,0.1467239,0.11781654,0.12043785,0.11205275,0.10096229,0.12558001,0.065804705,0.25824124,0.43091184,0.22963403,0.13202761,0.14983498,0.055111066,0.11271147,0.085937425,0.001152753,0.001374037,2720,2720,2.0,0,
11172_0,0.13233188,308.22488,292.77582,306.03104,291.61197,0.14899404,0.1189693,0.1226184,0.11407596,0.10188827,0.13073213,0.07273466,0.26701632,0.30960774,0.2420556,0.15747727,0.15569286,0.0810984,0.11842821,0.089551754,0.0016232664,0.0014039075,2720,2720,2.0,0,
19251_0,0.14929388,307.60507,292.3309,305.545,291.3335,0.16228642,0.13722521,0.14012252,0.13035572,0.11930277,0.13407278,0.10592079,0.2300575,0.18830363,0.22810487,0.18504775,0.18545283,0.15093563,0.12682687,0.10720522,0.001435061,0.0011649436,2720,2720,1.0,0,
11292_0,0.13430803,305.85687,293.8532,303.8363,292.8418,0.15404217,0.11678141,0.13032499,0.11122935,0.109475374,0.10217197,0.095167406,0.29722327,0.24380302,0.27447397,0.22940543,0.17199615,0.1491434,0.10527736,0.10356102,0.0013880096,0.0013441665,2720,2720,2.0,0,
8863_0,0.13339053,307.32492,291.89178,305.2086,290.9456,0.14848626,0.12278046,0.12118462,0.12047494,0.098751865,0.14828227,0.06425144,0.26228768,0.37636828,0.23462148,0.13187826,0.15051721,0.058456562,0.13028514,0.08647509,0.0012468557,0.0012844255,2720,2720,2.0,0,
19248_0,0.13837798,307.39117,291.45847,304.9989,290.56534,0.15457983,0.1245684,0.13328217,0.121651225,0.11571831,0.13362579,0.09564534,0.3063042,0.33786523,0.24066758,0.16521373,0.14877632,0.102903865,0.12654456,0.115628704,0.0013174326,0.001075332,2720,2720,2.0,3,
8243_0,0.13028514,304.33752,291.02094,302.46164,290.16025,0.14744078,0.116146214,0.12061708,0.10960608,0.10161944,0.121910006,0.06741771,0.2459138,0.38252163,0.22067076,0.13847964,0.14470638,0.0626683,0.10179556,0.08841667,9.1749633E-4,0.0015831306,2720,2720,2.0,4,
8243_1,0.13028514,304.33752,291.02094,302.46164,290.16025,0.14744078,0.116146214,0.12061708,0.10960608,0.10161944,0.121910006,0.06741771,0.2459138,0.38252163,0.22067076,0.13847964,0.14470638,0.0626683,0.10878269,0.085997164,9.1749633E-4,0.0015831306,2720,2720,2.0,4,
19234_0,0.14270669,306.72067,291.80627,304.4081,290.98972,0.15526685,0.12852071,0.13214709,0.13117912,0.11452349,0.14317721,0.1008428,0.26014683,0.20936233,0.25419483,0.16667739,0.18931104,0.10989357,0.13219072,0.102903865,9.1749633E-4,9.5585E-4,2720,2720,2.0,12,
8562_0,0.1328024,307.6271,290.9094,305.33316,290.1573,0.14678364,0.11953391,0.119481996,0.112593845,0.10012591,0.12927353,0.06481898,0.23043391,0.3939919,0.21490698,0.124828815,0.14065996,0.05299026,0.11449942,0.088297196,9.41022E-4,0.001015591,2720,2720,2.0,6,
19242_0,0.12249815,300.92102,291.35748,299.59448,290.4206,0.14845638,0.10052517,0.12163267,0.10108979,0.10087267,0.065824814,0.0706736,0.34467456,0.24284716,0.14934093,0.09967785,0.070718154,0.047225256,0.08528054,0.08820758,9.41022E-4,5.37663E-4,2720,2720,2.0,3,
11366_0,0.12974405,308.23804,291.28418,305.99677,290.22836,0.14531998,0.11515814,0.118317045,0.10523031,0.09887135,0.11955744,0.064311184,0.23403333,0.33804443,0.22591698,0.13346139,0.14675312,0.062220246,0.10984134,0.0852504,0.001364484,0.0014039075,2720,2720,2.0,2,
19236_0,0.17905386,308.07352,294.16656,306.35507,292.77505,0.17339824,0.17369,0.15819417,0.19363977,0.14848626,0.24593733,0.16434748,0.34309834,0.27603328,0.38240972,0.29583743,0.3425337,0.25407848,0.21053119,0.1662592,0.0013409583,0.001194814,2720,2720,2.0,3,
19236_1,0.17100808,308.21173,294.137,306.6101,292.74313,0.17623594,0.16686755,0.15891105,0.1788186,0.15195122,0.21902396,0.17360733,0.3342762,0.28550223,0.35170874,0.2951504,0.30324584,0.24926932,0.17498392,0.14508101,0.001082176,0.001493519,2720,2720,2.0,3,
8626_0,0.1309674,308.04276,293.03992,305.69046,292.10004,0.14594726,0.11379365,0.12208073,0.102830686,0.096989505,0.10304242,0.082412705,0.22892827,0.20568825,0.23466854,0.17073977,0.15465774,0.102545425,0.10365409,0.09107515,0.0012939071,0.0012844255,2720,2720,2.0,0,
18684_0,0.1262152,306.3852,291.43073,304.39212,290.52695,0.1457083,0.10661832,0.11936251,0.09487902,0.092210226,0.084127784,0.06598393,0.23010455,0.2361263,0.18834649,0.112970226,0.11522871,0.056813687,0.094126195,0.08784913,0.0012703814,8.064975E-4,2720,2720,2.0,0,
8185_0,0.1438124,307.06854,292.44104,305.08652,291.3951,0.1540123,0.13230835,0.129399,0.12988521,0.110281885,0.1372958,0.087460816,0.25972337,0.30799472,0.25036016,0.16718519,0.18949924,0.100544095,0.1350138,0.10045449,0.0011057017,0.001075332,2720,2720,2.0,0,
19228_0,0.1720432,308.62988,293.85568,306.66263,292.61826,0.17429437,0.16592653,0.15682012,0.18032424,0.15392268,0.2238232,0.17208394,0.2931063,0.24404198,0.32157233,0.25174856,0.29228288,0.22641839,0.22267044,0.18899065,0.00122333,0.001493519,2720,2720,2.0,5,
8523_0,0.13887201,308.51398,292.63354,306.26294,291.52997,0.15520711,0.12633283,0.13110162,0.12445078,0.105263636,0.13788393,0.080680214,0.248384,0.28242558,0.24890156,0.14021212,0.18051244,0.07658796,0.12376853,0.09612326,0.0013409583,0.001732483,2720,2720,2.0,27,
8521_0,0.14468285,310.3538,296.83557,307.54492,295.42108,0.16449684,0.13284944,0.14299008,0.13155553,0.123066455,0.1391308,0.11213385,0.29625872,0.24508744,0.3136207,0.26157597,0.22591698,0.18878156,0.12647398,0.11661442,0.0011998044,0.001135073,2720,2720,2.0,34,
8521_1,0.1428008,310.3689,297.20328,307.52664,295.67685,0.16369033,0.1285913,0.14095889,0.12419199,0.11930277,0.1269445,0.10714548,0.26859254,0.23012233,0.2897186,0.24762644,0.20737876,0.17695284,0.12221584,0.11398582,9.880733E-4,0.001135073,2720,2720,2.0,34,
11132_0,0.1422597,309.2774,295.55264,306.90402,294.2956,0.16751376,0.12805021,0.146007,0.116546154,0.11879497,0.112452686,0.10840004,0.20196785,0.16596049,0.17526622,0.14036147,0.12802668,0.105831176,0.11057063,0.11192476,0.0012939071,9.259795E-4,2720,2720,2.0,42,
19209_0,0.13626066,308.39142,292.35846,305.81992,291.38925,0.14926289,0.12287456,0.1249483,0.117157824,0.10427791,0.13277887,0.07670744,0.25395957,0.31650782,0.24537271,0.16885793,0.1635034,0.09540637,0.1224511,0.10421817,9.645477E-4,0.0011052025,2720,2720,2.0,4,
8652_0,0.15054074,305.84122,292.9926,303.6568,291.76416,0.15870196,0.13877791,0.1369861,0.13691938,0.12088591,0.14002477,0.1078325,0.2517952,0.20646489,0.22911647,0.18525684,0.17025526,0.13859911,0.133367,0.11273126,0.001152753,5.97404E-4,2720,2720,2.0,3,
19194_0,0.13261418,307.8362,290.84595,305.41794,289.93796,0.14579791,0.12118071,0.11870536,0.11767539,0.099319406,0.14000124,0.06296701,0.27023935,0.41944155,0.22862244,0.12671065,0.1398601,0.052811038,0.12329802,0.08486208,0.001435061,0.0012246845,2720,2720,2.0,4,
19198_0,0.14148337,307.9571,293.87793,305.60056,292.77216,0.16718519,0.12546238,0.14555894,0.11271147,0.11748067,0.10603018,0.10559221,0.23448032,0.1937998,0.22114128,0.17044108,0.158563,0.11909368,0.117016666,0.11335854,0.0013880096,0.0012246845,2720,2720,1.0,35,
8699_0,0.12673277,306.74286,290.78757,304.3441,290.01804,0.15338501,0.11097057,0.1283834,0.10537146,0.10905719,0.111370504,0.07440741,0.26000568,0.409196,0.2123662,0.1480382,0.13774277,0.06711901,0.11002954,0.09776614,9.645477E-4,0.0014636485,2720,2720,2.0,2,
18611_0,0.13604893,307.7284,291.52158,305.1449,290.7836,0.14415503,0.12609757,0.11855601,0.12597995,0.09827394,0.15089363,0.0641917,0.27028638,0.382432,0.27976725,0.13274449,0.19034617,0.05893449,0.14096579,0.08510105,0.0013174326,0.0012246845,2720,2720,2.0,2,
19168_0,0.1351079,304.2742,292.15546,302.0475,291.5124,0.15699935,0.1189693,0.1330432,0.11588743,0.11407544,0.10579492,0.09498818,0.28863642,0.24466926,0.23222186,0.1834646,0.14522395,0.115957275,0.10635954,0.101410344,0.0010351246,0.0017623535,2720,2720,2.0,2,
19172_0,0.13576663,307.294,291.83646,304.65057,290.90143,0.14938237,0.121933535,0.12318594,0.117298976,0.098721996,0.13567252,0.06777616,0.2611349,0.3437796,0.23017512,0.13196786,0.14783528,0.0660138,0.11628737,0.0831296,0.001364484,8.9610904E-4,2720,2720,2.0,3,
10787_0,0.13270828,305.35547,290.26572,303.29178,289.59338,0.14747065,0.117416605,0.12085604,0.112476215,0.10326231,0.121580645,0.06953852,0.25850004,0.42048702,0.21994147,0.12542622,0.14414176,0.052542206,0.11379365,0.08781926,8.469193E-4,0.001613001,2720,2720,2.0,2,
6543_0,0.14727677,307.7284,302.84967,304.68518,300.2907,0.14671488,0.13294874,0.12631653,0.12768075,0.11245427,0.1235708,0.09942997,0.28719655,0.27844223,0.23335853,0.17654626,0.15828961,0.10761804,0.11948357,0.10378737,7.039085E-4,7.182469E-4,2720,2720,2.0,0,
1553_0,0.14798069,309.73114,302.69852,307.35425,300.33737,0.14336303,0.13628665,0.12140848,0.1331304,0.10577453,0.15436132,0.085017055,0.2739584,0.30324587,0.26342243,0.15186235,0.18163228,0.08571137,0.13574168,0.09322906,0.0010445117,0.0011013144,2720,2720,2.0,0,
4584_0,0.14323495,309.2426,302.437,306.8647,300.19186,0.14343487,0.12747638,0.12181549,0.11823469,0.1094855,0.121141165,0.08798583,0.2685769,0.29156232,0.23610607,0.18267535,0.15184087,0.10170443,0.1044062,0.094234616,9.76391E-4,0.0011252562,2720,2720,2.0,0,
4332_0,0.15413426,310.53268,304.40308,307.92294,301.81143,0.15641128,0.14103238,0.13958025,0.13896607,0.12531097,0.149661,0.123922355,0.2589946,0.25445265,0.26937163,0.21595435,0.20542908,0.15272425,0.14203149,0.11954102,0.0015667697,9.5766416E-4,2720,2720,1.0,0,
10853_0,0.15247665,309.0031,304.11118,307.00098,301.825,0.147074,0.13796696,0.126532,0.1407599,0.117194735,0.15113695,0.10297335,0.28224644,0.29814628,0.285766,0.23680758,0.20531555,0.14898933,0.14001058,0.10733074,0.0013169941,0.0010055476,2720,2720,2.0,0,
5014_0,0.15513335,309.16864,305.05457,306.89352,302.58325,0.15880544,0.13946562,0.13993937,0.12856631,0.12593345,0.12693141,0.12037898,0.26900834,0.25548214,0.2431679,0.22483672,0.1800201,0.16165452,0.13424303,0.12885435,0.0015440629,7.421886E-4,2720,2720,2.0,0,
8597_0,0.14203149,308.20953,303.54578,306.21555,301.11728,0.1419026,0.12402494,0.121552125,0.11573693,0.10757016,0.10549613,0.09258264,0.284449,0.2532316,0.19768603,0.18255563,0.12938376,0.1159737,0.10876592,0.09969333,0.0016121835,0.0014125569,2720,2720,2.0,0,
8597_1,0.15368012,308.5927,303.66864,306.57593,301.18274,0.14750496,0.13980621,0.12916559,0.13435657,0.12011562,0.13692245,0.11065864,0.28417653,0.27470732,0.2487538,0.21985684,0.1813598,0.1527003,0.13592334,0.121193,0.0015667697,0.00131679,2720,2720,2.0,0,
18974_0,0.1609009,311.00354,304.3149,308.79007,301.662,0.1424293,0.1549517,0.123108335,0.15803984,0.11077835,0.18653697,0.10328459,0.2986635,0.25263306,0.33033958,0.18090366,0.25159216,0.11422596,0.16775838,0.10591818,0.002066321,0.0015562072,2720,2720,2.0,2,
8412_0,0.14711782,312.53976,303.498,309.89142,301.0108,0.1419026,0.1377853,0.122390084,0.1374447,0.10682797,0.16539687,0.10263816,0.26614726,0.21533185,0.2676005,0.17795883,0.18417545,0.11726656,0.1453467,0.102709986,0.0014078217,0.0012928483,2720,2720,2.0,3,
18402_0,0.14357556,310.17682,302.93204,308.01144,300.36755,0.14053792,0.13013309,0.11855941,0.12461532,0.1029494,0.14382534,0.0867648,0.23117867,0.25773266,0.23419869,0.15078497,0.16480649,0.08451428,0.12777157,0.09282206,0.0016348903,0.0011731397,2720,2720,2.0,3,
18402_1,0.14064637,310.22647,303.01437,308.02707,300.46082,0.14044215,0.1262502,0.11779328,0.11839364,0.0989272,0.13862546,0.0861902,0.25036597,0.23443735,0.2391942,0.14843868,0.15372553,0.0864775,0.12684059,0.09231928,0.0018392522,0.0011731397,2720,2720,2.0,3,
18400_0,0.15420237,313.46777,305.07254,311.00528,302.11795,0.14647546,0.14457466,0.1279685,0.14620955,0.113052815,0.17232247,0.10855177,0.2778186,0.24597727,0.30904055,0.21056746,0.23767284,0.14195047,0.14561918,0.10388313,0.0015667697,0.0011252562,2720,2720,2.0,4,
8874_0,0.15549667,313.57516,304.385,311.1863,301.48248,0.14211807,0.14623226,0.12241403,0.15184087,0.10752228,0.17961137,0.10103407,0.27523002,0.22239466,0.31546658,0.18188527,0.25692827,0.11805663,0.16092362,0.10287758,0.0019073728,0.0012689065,2720,2720,2.0,5,
1375_0,0.17173208,310.51114,305.82782,308.25064,302.67773,0.17261982,0.15976556,0.15650705,0.15474734,0.14357851,0.16362573,0.14714582,0.21101497,0.19297029,0.24103346,0.21308133,0.21251363,0.1801854,0.14943393,0.14130405,0.001703011,8.8583893E-4,2720,2720,1.0,15,
1386_0,0.16921161,309.27307,304.79572,307.1293,302.0041,0.17139879,0.15772194,0.15638733,0.1519998,0.14865416,0.15299891,0.14556567,0.23762743,0.25203452,0.23263192,0.2268957,0.18376672,0.1696271,0.15168191,0.14444041,0.0012261666,0.0011252562,2720,2720,2.0,16,
